ArRId,ArRName
22079,Palais Royal - Musée du Louvre
22165,Passy
22134,Strasbourg - Saint-Denis
21920,Strasbourg - Saint-Denis
463091,Réaumur - Sébastopol
22142,Réaumur - Sébastopol
22376,Palais Royal - Musée du Louvre
21904,Michel-Ange - Molitor
463236,Marx Dormoy
22053,Marx Dormoy
463205,Lamarck - Caulaincourt
462958,Javel - André Citroën
21996,Goncourt
463180,Franklin D. Roosevelt
22082,Franklin D. Roosevelt
22204,Faidherbe - Chaligny
463100,Edgar Quinet
22193,Invalides
463013,Charles de Gaulle - Etoile
462967,Sèvres - Babylone
462966,Sèvres - Babylone
21980,Sèvres - Babylone
22369,Sully - Morland
21912,Saint-Philippe-du-Roule
490841,Maison Blanche
21985,Chardon Lagache
463011,Champs-Élysées - Clemenceau
463010,Champs-Élysées - Clemenceau
22090,Champs-Élysées - Clemenceau
21955,Bibliothèque François Mitterrand
463093,Barbès - Rochechouart
22127,Barbès - Rochechouart
21987,Avenue Émile Zola
463168,Daumesnil
22184,Daumesnil
463122,Arts et Métiers
463052,Alma - Marceau
21935,Alma - Marceau
22442,Rue des Boulets
22003,Porte de Pantin
22117,Monceau
22129,Place de Clichy
22123,Anvers
22126,Couronnes
22106,Villiers
22072,Nation
22088,Argentine
22080,Nation
22051,Notre-Dame des Champs
22044,Saint-Georges
22045,Solférino
22040,Pigalle
24685,Bolivar
24684,Pré-Saint-Gervais
22027,Villiers
22097,Bastille
22217,Saint-François-Xavier
22218,Saint-Lazare
22219,Porte de Clichy
22224,Miromesnil
22208,Porte de Charenton
22178,Bercy
22173,Glacière
22158,Denfert-Rochereau
22151,Denfert-Rochereau
22167,Picpus
22161,Quai de la Gare
22147,Etienne Marcel
22364,Châtelet
22365,Place d'Italie
22368,Stalingrad
25084,Buzenval
463081,Madeleine
463095,Jaurès
463059,Oberkampf
463067,Nation
463074,Jaurès
463041,Tuileries
463051,Balard
463018,Bastille
463020,Campo-Formio
463025,Place d'Italie
463026,Place d'Italie
463033,Louis Blanc
463311,Solférino
463322,Victor Hugo
463306,Saint-Michel
463303,Saint-François-Xavier
463188,Havre-Caumartin
463197,Gare de Lyon
21968,Jussieu
21974,Porte d'Auteuil
463138,Bréguet-Sabin
463139,Cadet
463134,Botzaris
463128,Bercy
463123,Assemblée Nationale
463125,Avron
21951,Place des Fêtes
21926,Havre-Caumartin
21919,Nation
21918,République
21930,Exelmans
21928,Jasmin
463276,Porte de Bagnolet
463279,Porte de Montreuil
463280,Porte de Pantin
463281,Porte de la Chapelle
463282,Pré-Saint-Gervais
463290,Ranelagh
463291,Raspail
463254,Place des Fêtes
463262,Porte des Lilas
463240,Monceau
463216,Les Gobelins
463203,La Muette
462988,Villiers
462983,Couronnes
462981,Jaurès
462975,La Fourche
462947,Pasteur
462959,Vaneau
462950,Rue du Bac
463159,Châtelet
463284,Pyramides
21962,Saint-Lazare
480340,Pont Cardinet
480286,Pont Cardinet
463165,Cour Saint-Emilion
21959,Châtelet
412354,Funiculaire Gare basse
