Nom du lieu,Discipline,Offre,Avantage,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Les 5 Caumartin,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,101 Rue Saint-Lazare,Paris,48.87561479368591,2.3279187656315083,#FF0000
Festival Solidays,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,Route de Sèvres à Neuilly,Paris,48.85878751058443,2.2296233802853993,#FF0000
Festival Mama - 11 au 13 octobre 2023,Musique,"Les abonnés Navigo bénéficient du tarif réduit à 22€ sur toute la programmation du festival, dans la limite de 40 places par jour. Réservation sur la billetterie dédiée : https://widget.weezevent.com/ticket/3de3fa44-d80d-4082-9503-962f90e8a6cb",Avantage tarifaire,Tarif réduit,98 Boulevard Marguerite de Rochechouart,Paris,48.882416,2.341814,#FF0000
Festival Jazz au Fil de l'Oise - 23 septembre au 10 décembre 2023,Musique,"Aux détenteurs d’un abonnement Navigo et à leur accompagnant, Tarif Réduit sur toute la programmation (sauf La Grande Table le 25 nov). Le Festival étant itinérant, le tarif est variable selon le concert et sa localisation.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place de la paix,Pontoise,49.05956022042457,2.0895567153438246,#FF0000
Festival des 2 Rivières - 16 au 18 juin 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,Espace des 2 Rivières,La Ferté-sous-Jouarre,48.94526125632563,3.123356938412617,#FF0000
L’Ecran,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,Place du Caquet,Saint-Denis,48.93674294060646,2.3591015446699166,#FF0000
Festival De Saint Denis - 2 au 27 juin 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,16 Rue de la Légion d'Honneur,Saint-Denis,48.93474358838495,2.3581760114004124,#FF0000
Espace culturel Alain-Poher - Salle Charles Chaplin,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,7 Avenue Auguste Duru,Ablon-sur-Seine,48.724248997983004,2.4202751135219396,#FF0000
Cinéma Louis Daquin,Cinéma,"Tarif réduit de 5€ pour les détenteur du passe au lieu de 6,50€",Avantage tarifaire,Tarif réduit,11 Avenue de la République,Le Blanc-Mesnil,48.9379789314027,2.462266922466314,#FF0000
Théâtre Romain Rolland,Théâtre | Musique | Danse,"Tarif de l'abonnement Classique sur l'ensemble des spectacles (hors spectacles exceptionnels) : Tarif plein : 15,50€, Tarif réduit* : 13,50€, Tarif mini* : 10€ Réservation possible uniquement sur place ou par téléphone. Tarif réduit : seniors (+60 ans), familles nombreuses, abonnés théâtres amis. Tarif mini : -26 ans, demandeurs d'emploi, étudiants, titulaires d'une carte d'invalidité, bénéficiaires du RSA, intermittents du spectacle.""",Avantage tarifaire,Tarif réduit,18 Rue Eugène Varlin,Villejuif,48.793542539070515,2.363067428100427,#FF0000
Centre des Arts Enghien les Bains,Centre d'art | Théâtre | Danse | Musique | Cinéma,"Les abonnés Navigo concernés ont accès au tarif réduit sur l’intégralité de la programmation (théâtre, cinéma, concert, festival compris). Offre valable en ligne ou en billetterie du centre et soumise à la présentation d’un justification Navigo.",Avantage tarifaire,Tarif réduit,12-16 Rue de la Libération,Enghien-les-Bains,48.58206,2.18215,#FF0000
Centre culturel cinéma Yves Montand,Cinéma,"Pour les porteurs du passe Navigo, accès au tarif individuel le plus avantageux pour les séances de cinéma et les spectacles. Pour les porteurs du passe Navigo disposant d'un abonnement ""Ma carte"", possibilité de faire bénéficier du tarif abonné à une tierce personne de leur choix.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",36 Rue Eugène Masse,Livry-Gargan,48.92617414332353,2.5451053232822547,#FF0000
Espace des Arts - Salle Philippe Noiret,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,144 Avenue Jean Jaurès,Les Pavillons-sous-Bois,48.90266491270613,2.506641478292648,#FF0000
Musée Du Jouet de Poissy,Musée,Tarif réduit,Avantage tarifaire,Tarif réduit,1 Enclos de l'Abbaye,Poissy,48.928658155506064,2.0378918076875068,#FF0000
La Pop - Peniche Opera - Compagnie Lyrique Nationale,Musique,Tarif de 12€ au bénéficiaires des minima sociaux et 10€ au adhérents même tarif accompagnants,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",61 Quai de la Seine,Paris,48.88716294949734,2.3762433000795418,#FF0000
L'Archipel,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,17 Boulevard de Strasbourg,Paris,48.87046992825714,2.3546581776106303,#FF0000
Le Trianon,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,Place Carnot,Romainville,48.88396044441015,2.4409812301304754,#FF0000
Maison De La Poésie,Centre d'art,"Offre de cartes jeunes aux premiers inscrits (100 cartes à gagner) avec le code ""MDP""",Avantage tarifaire,Tarif réduit,157 Rue Saint-Martin,Paris,48.86229832608158,2.351911675217585,#FF0000
Maison Jean Cocteau,Musée,"Le tarif Navigo Culture équivaut au tarif réduit, soit 6,50€, pour visite libre. Le tarif Navigo Culture équivaut au tarif réduit, soit 6,50€, pour assister à un évènement.",Avantage tarifaire,Tarif réduit,15 Rue du Lau,Milly-la-Forêt,48.40234270866434,2.46487782795243,#FF0000
